Word,Number Of Occurences,Number Of Steps
still,1,1
a,6,6
time,1,1
woke,1,1
truck,1,1
snow,2,2
braids,1,1
looked,1,1
something,1,1
first,1,1
houses,1,1
perspective,1,1
bring,1,1
scrolling,1,1
neighborhoods,1,1
buildings,1,1
beautiful,1,1
stricken,1,1
were,1,1
snowedin,1,1
winking,1,1
descended,1,1
dark,1,1
converging,1,1
flashes,1,1
country,1,1
lakes,1,1
river,1,1
some,2,2
already,1,1
roselit,1,1
below,1,1
parallels,1,1
above,1,1
hills,2,2
knew,1,1
airplane,1,1
all,1,1
would,1,1
headlights,1,1
and,4,4
like,1,1
hunters,1,1
ascending,1,1
turning,1,1
airport,1,1
blue,2,2
glided,1,1
streaked,1,1
lights,2,2
vast,1,1
outside,1,1
lov,1,1
vision,1,1
into,1,1
was,2,2
icedover,1,1
long,3,3
airportstreetlights,1,1
runway,1,1
clearer,1,1
pure,1,1
bob,1,1
warehouse,1,1
lost,1,1
barns,1,1
canyon,1,1
toward,1,1
had,1,1
specks,1,1
as,2,2
at,2,2
hed,1,1
stacks,1,1
enough,1,1
valleys,1,1
walked,1,1
his,1,1
he,5,5
if,2,2
in,1,1
it,3,3
scraps,1,1
looking,1,1
eyes,1,1
chicago,1,1
over,1,1
past,1,1
decemberbrown,1,1
plane,1,1
of,10,10
on,1,1
rinks,1,1
monitors,1,1
so,1,1
to,2,2
galaxy,1,1
cumulus,1,1
faraway,1,1
black,1,1
coming,1,2
bottom,1,1
banks,1,1
they,1,1
sky,1,1
montana,1,1
electric,1,1
ice,1,1
tears,1,1
felt,1,1
stoplight,1,1
now,1,1
antennae,1,1
deepened,1,1
deep,1,1
wing,1,1
down,1,1
its,1,1
with,2,2
atop,1,1
gleaming,1,1
through,1,1
the,15,15
finally,1,1
hoursold,1,1
Word Total,Num Occurrences,Num Steps,Average Steps Per Word
125,=SUM(B2:B126),=SUM(C2:C126),=C128/B128
