Word,Number Of Occurences,Number Of Steps
eaten,3,12
tempted,6,30
outbreak,1,6
franz,4,28
softened,6,6
son,18,36
flowery,2,6
meditative,3,12
prophetic,1,5
spared,5,5
daring,3,6
fastening,2,6
cases,3,12
marked,7,7
smiled,48,96
lakes,2,6
imperceptibly,1,1
desire,17,17
irksome,3,6
worship,3,9
swarming,1,4
seaside,2,10
mists,1,6
side,53,53
objection,5,10
heavy,29,87
torn,6,24
strengthened,3,15
confession,2,12
denis,1,7
direct,1,8
contradict,1,9
wings,4,4
flowers,62,124
prevent,3,9
cultivating,1,4
sot,1,5
distress,1,1
ennui,2,4
esteem,1,3
balmy,1,4
distorting,1,5
obeyed,7,7
clapping,2,4
relapse,1,3
explanations,2,8
rhine,1,5
agreeably,1,6
arsenic,1,1
smiling,35,70
ice,17,51
chewing,2,8
garnet,1,5
including,1,6
corneliuss,1,7
chaotic,3,24
sow,2,18
materials,1,1
ghostly,2,4
pallor,1,3
pegged,1,4
detest,2,2
clattering,1,2
nurse,10,30
clanking,1,4
twitch,1,5
pricking,1,6
fools,2,14
immortal,4,32
vaughn,5,45
points,6,60
mark,1,11
spend,19,19
everlasting,3,6
corners,6,18
ellen,4,16
bullet,1,5
complimentary,2,12
scrollwork,1,7
toothbrush,1,8
kinder,5,5
key,10,20
blunderbuss,1,3
mystery,6,24
prevail,1,5
forgiveness,1,6
marm,1,7
contrasting,2,2
produce,4,8
vest,2,6
trooping,1,4
discuss,1,5
stuart,1,1
filling,5,10
melted,2,6
urn,2,8
labyrinth,1,5
figuratively,2,12
ostentatiously,1,7
ordinary,4,4
seeds,3,6
disillusioned,1,3
coated,1,4
pockets,8,8
devonshire,1,2
glowed,6,6
meanwhile,6,12
dexterity,1,3
lacked,1,4
sold,5,25
misjudged,1,6
piccadilly,1,7
lends,1,8
attached,2,18
soupcon,1,1
wholly,2,4
committing,1,3
joked,1,4
bustling,1,1
parent,3,6
paddling,2,2
number,8,16
absurdity,1,3
sauntered,1,4
presents,10,10
teeth,6,12
frenchwoman,5,15
caprices,1,4
wiles,1,5
cuddled,5,5
bend,4,8
workbasket,3,9
womanliest,1,4
primitive,1,5
wrath,5,5
deepest,3,6
biscuits,1,3
mantua,1,4
gad,1,5
describe,9,9
wishing,13,26
mary,6,18
reproached,2,8
sympathetic,3,15
elastic,1,6
live,38,38
bigger,5,10
river,30,90
weigh,2,8
building,2,10
incoherently,1,6
genial,2,14
toiling,1,8
silesia,2,18
company,30,30
auburn,1,2
slyly,3,9
definition,1,4
sniff,6,6
spent,17,34
retainer,1,3
rampantly,2,8
glories,4,4
nervously,3,6
uttered,9,27
womanly,11,44
drinkables,1,5
unpacked,1,6
isnt,102,102
truant,1,2
mistress,11,33
laertes,1,4
sinners,3,15
grayer,1,6
pasting,1,7
a,4467,4467
pardoned,1,2
truest,1,3
travelled,1,4
manners,28,28
anybody,9,18
popped,3,9
fashionable,18,72
b,1,5
bearing,8,48
lingered,2,14
tusser,1,8
russian,2,2
c,3,6
producing,5,15
cavalier,1,4
parish,1,5
convulse,1,6
darting,1,7
wriggled,1,8
uncongenial,1,9
slashed,1,1
wrapping,2,4
jokes,4,12
relation,3,12
collared,1,5
cheering,4,4
deliver,8,16
guessing,1,3
deciding,2,8
pearl,5,5
amusements,2,4
proposition,1,3
ensued,1,4
desolation,1,5
use,55,55
selfishnesses,1,2
paglioni,1,3
beheld,4,4
gadding,2,4
engraved,1,3
i,3153,3153
feelings,28,56
wave,5,15
childs,2,8
bent,17,85
gas,1,6
thoughts,27,27
question,20,40
inspired,4,12
scorned,1,4
poodles,1,5
render,3,18
reproaches,1,7
crooked,1,1
toss,4,8
patient,22,66
tilting,1,4
k,5,25
petulance,1,6
warning,8,8
mask,3,6
l,2,6
driven,3,12
uneventful,2,10
rapid,2,12
spite,79,79
m,3,6
lovers,23,69
confiding,8,32
future,9,45
objecting,1,6
exerted,2,14
captivate,1,8
aristocratic,10,10
n,1,2
tasks,4,12
pennies,1,4
raptures,1,5
tile,1,6
elysees,1,7
jealousy,1,8
ladylike,4,4
gay,28,56
o,3,9
removing,1,4
repining,1,1
p,4,8
lingerer,1,3
twirl,1,4
earlier,1,5
shocked,2,2
caps,3,6
crew,1,3
yelped,1,4
petulant,1,5
disappeared,7,7
melting,1,2
repulsed,1,3
argued,1,4
jardin,1,5
opera,6,6
s,3,6
impartial,1,3
overlook,1,4
illustrations,1,5
some,267,267
dawn,4,8
firin,1,3
t,1,4
telegraph,5,25
odds,2,12
plum,2,14
mass,3,24
diplomatically,1,9
suggestion,3,30
till,190,190
kennst,1,2
covered,24,24
wasted,7,14
aforesaid,2,6
lobsters,1,4
old,378,378
perhaps,36,72
imaginary,8,24
listless,4,16
attractive,10,50
mis,3,18
arranging,2,14
relate,1,8
reread,2,18
bowing,2,2
falls,4,8
discovered,24,72
inspirer,1,4
mit,1,5
devoted,26,26
affliction,9,18
efforts,20,60
pranks,7,28
clinging,4,20
centerpiece,1,6
roadside,1,7
finds,6,6
fright,7,14
solemn,8,24
sincerity,2,8
recited,1,5
lamb,8,48
prominent,2,14
haste,6,6
spits,1,2
attic,1,3
strolls,1,4
mix,1,1
peoples,12,24
anyhow,1,3
avoided,2,8
rung,1,5
others,52,52
lame,6,12
wavy,2,6
birthday,5,20
betokens,1,5
mysterious,11,11
perpetual,5,10
handful,3,9
deliberately,2,8
conscience,10,50
baden,4,24
wisely,7,7
illusion,3,6
readers,5,5
slough,2,4
refrigerator,2,6
dashing,4,16
varying,1,5
outdone,1,6
elle,1,7
fabers,1,1
applause,4,8
demonstration,2,6
pastime,2,8
havent,51,51
knives,1,2
buyer,1,1
slippery,2,2
receptacle,1,2
forbearance,1,3
glorify,1,4
giggle,2,2
outgrew,1,2
mate,3,9
liberties,3,12
yander,1,5
bits,12,12
guitar,1,2
discontented,6,18
leave,66,66
toast,6,12
interested,19,57
nimble,1,4
treated,6,30
thanksgiving,1,6
trumpet,2,14
whisky,1,8
lamp,7,7
advice,26,52
consumed,1,3
runs,3,12
standish,2,10
unbelieving,1,6
query,1,7
jouvins,1,8
strong,51,51
snood,1,2
slippers,22,22
brooms,3,6
sentimentlly,1,3
greatly,3,12
imitation,3,15
seeking,1,6
vessel,1,7
peopled,1,1
sketched,3,6
victorious,2,6
schillers,2,8
husband,34,170
spices,1,6
presentable,1,7
consuls,1,8
gayly,2,2
imploringly,3,6
disapproving,1,3
consult,3,12
spending,4,20
time,320,320
anyway,5,10
bravely,13,39
seal,4,16
discouragements,1,5
salts,1,6
childlike,1,7
affectations,2,16
round,89,89
meantime,7,14
declined,3,9
coddling,1,4
fitly,2,10
seam,1,6
difficult,5,35
shapes,1,8
hasty,12,12
rankled,2,4
confused,2,6
reception,6,24
period,4,20
roofs,1,6
debate,1,7
gingerbread,8,8
smuggled,1,2
scraped,1,3
epitaphs,1,4
marmee,44,44
mignons,1,2
streak,3,3
stabbing,2,4
department,2,6
rewarded,2,8
wants,13,13
switzerland,6,12
italy,3,9
satisfy,12,48
mats,2,10
dishcloths,2,12
salty,1,7
relevant,1,8
quizzing,1,9
cookery,1,1
harbor,1,2
sift,1,3
answering,2,8
seat,25,25
song,16,32
quantity,4,12
survey,2,2
flints,1,2
barricading,1,3
thrashed,1,1
theirs,4,8
protection,5,15
holders,2,8
unselfish,4,20
confidences,3,18
dolls,13,13
forlorn,8,16
morals,3,9
corporal,1,4
tinkling,1,5
needlebook,1,6
rapidly,10,10
destitute,2,4
threaded,1,3
strife,1,4
businessman,3,3
cluster,2,4
unshelled,1,3
blued,1,4
sketches,5,25
tightened,1,6
debonair,1,7
drenching,1,8
land,9,9
ceremonious,1,2
coventrys,1,3
kitchen,25,25
flirted,5,10
jumping,1,3
writes,4,16
lane,2,10
consume,1,6
sanginary,1,7
skim,2,16
shaped,1,1
skin,3,6
ribbons,9,27
lumpy,1,4
shrine,4,20
writer,2,12
tact,5,5
dolly,1,2
aint,11,33
instantly,3,12
expectant,2,10
slighted,1,6
irritable,2,14
tenderly,26,26
scrapes,5,10
skip,2,6
hanging,6,6
seasons,1,2
card,4,12
alarmed,5,20
injured,14,14
care,125,250
chanted,1,3
curtained,3,12
sons,2,10
motionless,3,18
repressed,1,7
beste,1,8
display,6,6
gliding,2,4
contradictions,1,3
stifled,2,2
protestations,1,2
appeared,48,48
history,6,12
ashore,1,3
grocer,1,4
calmly,3,15
mirrors,1,6
retire,1,1
match,11,22
luxuries,1,3
remained,11,44
extravagant,1,5
chronic,1,1
parkss,1,2
disgraced,5,15
demoiselles,2,8
withdraw,1,5
livelier,1,6
weeds,1,7
beethoven,1,8
sigh,26,26
might,115,230
place,99,297
unprofitable,1,4
india,3,15
judge,1,6
warmth,7,49
exulting,1,1
tour,5,10
charmingly,2,6
tina,15,60
commons,1,5
bluer,1,6
less,19,19
reveled,4,8
restrained,7,21
philandering,3,12
pocket,27,27
lest,10,20
hinted,4,12
derangement,1,4
doubly,2,2
otherwise,5,5
indignation,6,12
diaphanous,1,3
sign,17,17
garland,4,8
chloe,1,3
radiance,1,4
spatted,1,5
sturdy,1,6
seating,1,7
hundred,8,8
envious,1,1
shroud,3,6
mentor,3,9
preachment,1,4
lowering,1,5
cart,1,1
imitating,3,6
tongues,5,5
tink,2,2
slumber,2,4
collar,4,4
badge,2,4
squashes,1,3
provoking,3,12
wearer,2,2
distinguished,3,6
awaiting,1,3
sonata,1,4
alighted,1,5
abruptly,6,6
currant,2,4
one,707,707
bureau,3,6
ear,11,33
pause,20,80
safely,10,50
pounding,1,6
extent,3,21
assent,1,8
indulgent,1,9
days,52,52
chickweed,2,4
shield,5,15
pinched,1,4
bald,2,10
chafed,1,6
shouting,1,7
eat,29,29
palatable,1,2
commissions,2,6
trouble,56,56
newborn,1,2
clean,2,6
expulsion,1,4
observations,1,5
ducking,1,6
heros,1,7
romeo,1,1
sparkle,3,6
faithful,11,11
soon,121,242
beseech,1,3
poles,1,4
frequently,3,15
notebook,1,6
kirkes,2,14
charitable,1,8
taking,44,44
clashed,3,6
hortense,3,9
savagely,1,4
socrates,1,5
suffering,7,7
empty,20,40
sparkling,1,3
salve,1,4
farmer,1,5
clear,9,54
eatin,1,7
darkly,6,48
sartor,1,9
learning,24,24
begged,18,36
silks,1,3
grammatical,1,4
beneficial,1,5
ball,24,24
quit,1,2
whats,16,48
rubbing,2,8
fortune,23,115
ache,4,24
double,5,35
perform,2,16
superstition,1,9
dimple,1,10
hump,1,1
case,8,16
balm,3,9
tiny,8,32
buffeting,1,5
tears,52,52
tones,2,4
horsehair,2,6
turnover,2,8
priest,2,10
shawl,5,30
creeters,1,7
preaching,2,16
crumpling,1,9
profitable,5,5
disappointments,1,2
forbear,1,1
cash,1,2
gossiping,1,3
what,475,475
preserve,5,10
comply,1,3
picturesque,8,32
printed,6,30
anxiety,22,132
hyacinth,1,7
silky,1,8
curled,1,1
pickwick,16,32
packets,1,3
quiz,1,4
compare,1,5
behind,69,69
invitations,2,4
failure,10,30
ballroom,3,12
allumettes,1,5
cask,1,6
convent,1,1
squirrel,3,6
sech,1,3
lets,30,30
faded,9,18
promises,4,12
ladies,54,216
daily,23,23
shopped,2,4
admission,3,9
fatigue,1,4
busily,5,5
babel,1,2
sunset,5,15
glasses,4,16
brewery,1,5
josy,3,3
atlas,1,2
infect,1,3
heloise,1,4
cheered,5,5
crimped,1,2
horse,19,19
daunted,3,6
puck,2,6
acquaintance,5,20
mightnt,1,5
watched,35,35
upside,4,8
lamented,2,6
voices,12,12
drop,23,46
overwhelming,2,6
impatient,8,32
cast,14,70
eloquent,6,36
temptingly,1,7
premise,1,8
irrestible,1,9
satisfying,1,10
brave,13,13
measles,1,2
spirited,3,9
blended,2,8
magnifique,1,5
falter,2,12
displayed,2,2
system,2,4
croqueting,1,3
justice,4,16
sundry,4,20
effectual,1,6
bootjack,2,14
tease,6,6
mullein,1,2
gained,1,3
motley,1,4
sadly,9,9
frantically,1,2
sect,1,3
ways,22,22
suited,17,34
shrill,3,9
unclasp,1,4
draped,3,15
agony,1,6
portuguese,2,2
featherbeds,1,2
rattling,3,9
impertinence,1,4
hung,17,17
stairs,11,22
dollanity,1,3
brooke,99,396
sincerely,6,30
cockles,1,6
remonstrations,1,7
christian,4,4
promised,27,54
crustiness,2,6
conjectures,1,4
dialogue,1,1
mathematical,1,2
getters,1,3
lunches,1,4
clap,1,5
filed,1,6
boundless,1,1
shrugged,1,2
sandwiches,1,3
personae,1,4
correctly,2,10
onto,9,9
newspapers,5,10
unsuspicious,2,6
surprising,2,8
ducks,1,5
sunburned,1,6
chimneys,1,7
byelow,1,8
pervaded,5,5
bremer,1,2
miraculously,1,3
cravats,1,1
enclosing,1,2
assuring,1,3
goethe,1,4
everybody,25,25
vase,6,12
yawning,2,6
acid,1,4
watches,3,15
morality,1,6
salvation,1,7
kiss,37,37
matronly,3,6
begone,1,3
patronized,2,8
restante,1,5
voiced,1,6
cigarette,1,7
twittered,1,8
aster,1,1
smoke,10,20
growing,12,36
gem,2,8
claw,1,5
debarred,1,6
mated,1,7
lager,1,8
daisys,3,27
snowdrops,1,10
topic,2,22
truck,1,12
broadcast,1,13
hannah,114,114
halliards,1,2
recalled,6,18
mannie,1,4
personal,1,5
cornices,1,6
limbs,4,4
higher,5,10
permission,1,3
clay,4,16
fevers,1,5
beggars,1,6
town,4,4
swear,2,4
fussed,4,12
progress,5,5
swift,1,2
known,25,75
silly,32,128
appealing,3,15
hunt,3,18
steamer,1,7
greece,1,8
talent,19,19
artists,1,2
predicament,1,3
sentinel,1,4
drunk,4,20
valleys,1,6
lighted,5,5
emotion,5,10
advantage,3,9
trains,1,4
enemys,1,5
get,239,239
often,66,132
buried,6,6
taken,42,84
garret,13,39
obey,3,12
strict,2,10
administered,3,18
chestnuts,2,14
customary,1,8
seldom,34,34
knows,21,42
pinching,2,6
waltz,1,4
stroke,6,30
betraying,2,2
bonnivard,1,2
characters,9,9
trusting,1,2
splashed,2,6
broken,28,28
pumps,2,4
interferingest,1,3
masculine,5,20
enlightened,3,15
toilettes,1,6
goddesses,1,7
menagerie,1,8
takes,15,15
tingling,1,2
vast,2,6
solicited,1,4
symposium,1,5
cathedral,1,6
spread,12,12
cats,12,24
piteous,2,6
shortening,1,4
ballast,2,10
succeed,4,4
mates,2,4
afflicted,7,21
faithfulness,1,4
martial,1,5
bountiful,1,6
fessor,1,7
lighten,1,1
confer,2,4
jack,3,9
kite,3,12
convulsive,1,1
compasses,1,2
boots,36,36
succeeded,7,14
spectacles,8,24
proofs,3,12
mortal,8,40
affably,2,12
spank,1,7
exhaustion,2,2
gossiped,2,4
holly,1,3
march,295,295
scattered,9,18
amazing,2,6
recovered,8,32
screaming,1,5
brilliancy,4,24
dispersed,1,7
banc,1,1
cab,1,2
wellingtons,1,3
staels,1,4
exists,2,10
undoubtingly,1,6
making,57,57
banisters,3,6
band,8,24
weller,4,16
understands,1,5
inviting,8,8
phrases,5,10
stoutly,6,18
naturedly,2,8
attempts,4,20
floating,3,18
january,1,7
witty,3,3
booty,2,4
nerves,2,6
brightly,1,4
general,18,18
bang,3,6
dispatches,2,6
tips,1,4
explain,12,12
exhausted,3,6
rights,5,15
females,1,4
rice,1,5
grasshoppers,1,6
sauce,1,7
honor,29,29
globes,1,2
mortifying,2,6
sorrowfully,6,24
pendulum,2,10
outstrip,1,6
compromised,1,7
sum,10,10
nudge,2,4
cutlasses,1,3
promenaded,3,12
odors,1,5
rich,61,61
absorbed,28,56
sun,32,96
bank,6,24
discretion,4,20
protests,1,6
disagreement,1,7
infantile,2,16
kits,1,1
ceased,5,10
eclipsed,2,6
stormily,1,4
deserve,11,11
mourned,1,2
flocks,1,3
breathes,1,4
oppose,1,5
tongs,4,4
parade,3,6
whispers,3,9
can,258,258
circulated,2,4
dentists,1,3
discipline,1,4
marmar,4,20
fiddlesticks,1,1
seed,2,4
defeating,1,3
cap,18,18
primroses,1,2
seventy,3,9
distributing,1,4
jour,1,5
wanderings,3,18
bluntly,1,7
carnival,1,8
forming,3,27
perfect,26,26
departed,21,42
mishaps,2,6
goal,1,4
bess,1,5
best,175,175
continuing,1,2
grudging,1,1
envied,1,2
meager,1,3
christened,2,8
affable,2,10
damaged,5,30
gather,3,21
unclasped,1,8
africa,1,1
fourth,4,8
cat,9,27
ruddy,4,16
lotty,6,30
earning,2,12
michelangelo,1,7
femme,1,8
irrepressible,5,5
struggled,2,4
dovecote,4,12
dispatched,3,12
popular,2,10
consider,6,36
advisers,1,7
expression,61,61
grubbing,2,4
seek,1,3
chivalrous,1,4
opy,1,5
saying,86,86
destroyed,2,4
splash,4,12
praises,2,8
raising,1,5
seem,50,50
demanded,10,20
bilin,1,3
introduction,1,4
promenades,2,10
seen,55,55
twitted,1,2
newcomers,1,3
sniffs,1,4
spoiled,30,30
precious,31,62
topics,1,3
speculated,1,4
mourner,1,5
asters,1,6
saucy,2,2
vigorously,2,4
degrading,1,3
sweets,1,4
hugos,1,1
surely,6,12
thirty,15,45
winters,1,4
sore,6,6
illumination,1,2
sees,9,9
biddies,1,2
steered,1,3
tell,218,218
ferdinand,2,4
wrinkles,2,6
caresses,1,4
infallible,1,1
traces,2,4
lunatic,2,6
meditation,2,8
bagged,1,5
watching,22,22
objectionable,2,4
donkey,2,2
scattering,1,2
jove,3,9
damages,1,4
masked,2,2
ruse,1,2
wooing,4,12
passages,4,16
raisins,4,20
ancients,2,12
premature,1,7
dozens,2,16
bobbing,1,9
salubrious,1,10
undisturbed,1,11
struggles,3,3
coast,1,2
inexpensive,1,3
beth,414,414
gilded,2,4
rummaging,4,12
ruling,2,8
chubby,3,15
forgetfulness,1,6
fluently,1,7
chrysanthemum,1,1
ride,12,24
praised,6,18
rush,6,24
predicted,2,10
pretending,3,18
battle,1,7
resisting,1,8
efening,2,18
canvas,1,10
airs,12,12
geese,5,10
deluded,1,3
cleaning,1,4
untrue,2,10
sahara,1,1
missis,1,2
knelt,1,3
danneckers,1,4
rudest,1,1
occupation,1,2
twilled,2,6
quarts,4,4
stuck,9,18
rosyfaced,1,3
corked,1,4
cave,3,3
slight,7,14
alighting,1,3
solace,3,12
impetuous,3,15
martyrdom,1,6
significance,2,14
edge,1,8
keeps,14,14
lark,5,10
kept,71,213
grinding,1,4
sort,70,350
gazing,2,12
pressed,6,42
lowest,1,8
vivid,1,9
airy,5,5
follow,4,8
longlegs,1,3
socks,3,12
fineness,1,5
choice,2,12
caressed,5,5
pattern,3,6
wrinkled,3,9
concern,2,8
resign,1,5
lovely,69,69
scandalizing,1,2
composing,1,3
chokes,1,4
hounds,1,5
protest,1,6
disapprove,1,7
youngest,2,2
poorhouse,1,2
grocerman,1,3
ubiquitous,1,4
guards,2,10
tarantella,1,6
naughtiest,1,7
approve,9,9
characteristically,1,2
unnaturally,1,3
sausage,1,4
eyelids,1,5
endow,1,6
slaves,1,1
doings,2,4
truer,1,3
offered,28,28
showing,11,22
puff,2,6
slung,1,4
surrounds,1,5
defended,3,18
teddyism,1,7
librarians,1,8
toys,1,9
candles,1,1
commendation,2,4
psyche,1,3
disquiet,1,4
concert,2,10
testify,1,6
tumultuous,1,1
parcel,6,12
dodge,1,3
hospitals,2,8
inconsistent,1,5
fields,1,6
castanets,1,1
tire,3,6
decorous,3,9
astray,1,4
lashes,1,5
socratic,2,12
begin,34,34
calico,2,4
preserves,1,3
arent,13,13
rouse,2,4
preserver,1,3
having,97,97
supposed,6,12
picnics,2,6
unprotected,1,4
favorite,25,25
petted,7,14
instinct,5,15
echoed,3,12
millionaires,1,5
mon,1,6
beggar,2,14
roll,5,5
plaster,3,6
inspected,1,3
division,1,4
particularly,18,18
mop,5,10
expressing,2,6
mays,6,24
treasure,7,7
bred,7,14
atonement,1,3
cigars,2,8
folded,14,14
scarcely,1,2
rejoicing,5,15
choked,1,4
buoyancy,1,5
wristbands,2,2
hilltops,1,2
wills,5,15
unlimited,1,4
statement,1,5
picnic,4,4
eer,1,2
flirts,1,3
bonbons,3,3
consciousness,6,12
agitated,3,9
defender,1,4
distinguishing,1,5
pages,9,9
kittens,7,14
flutter,6,18
likenesses,1,4
coats,1,5
prickly,3,18
lucifer,1,7
gutter,1,1
vanity,9,18
clashing,2,6
lucid,1,4
happiest,10,10
breasts,2,4
corroberate,1,3
fancywork,1,4
antoinettes,1,5
enfant,1,6
upset,11,11
uproar,2,4
under,91,91
hardly,16,32
arrayed,1,3
complaints,2,8
freshmen,1,5
gloom,3,18
preserved,2,14
gathers,1,8
allow,14,14
nightcaps,2,4
when,708,708
nearly,41,41
friends,81,162
charming,40,120
allude,2,8
desponding,2,10
garten,2,12
guide,3,3
bitter,24,48
feather,3,3
warming,3,6
weaknesses,2,6
motives,1,4
pilgrim,3,3
aisy,2,4
limes,12,36
temptations,7,28
ocean,2,10
assistant,1,6
managed,10,10
maltreated,1,2
worlds,1,3
sailed,6,6
plummy,2,4
contribution,2,6
illness,3,12
randal,4,20
bitten,1,6
shrines,1,7
sprawled,1,8
sisterly,7,7
trifling,4,8
bridling,1,3
severely,2,8
undeniable,1,5
que,1,6
wonderful,10,10
brew,1,2
dragged,4,12
tragic,10,40
laying,6,30
buttonhole,3,18
ripen,3,21
wifes,2,16
hobby,1,9
statuesque,1,10
depth,1,1
false,2,4
impromptu,4,12
absorb,2,8
convert,1,5
grovelers,1,6
legend,1,7
suggestive,6,6
serious,13,26
preparations,5,15
robbed,1,4
granddaughter,1,5
movements,2,12
waters,1,7
silk,30,30
ruinous,2,4
rome,8,24
unspoken,1,4
tending,1,5
highborn,1,6
contributor,1,7
last,138,138
rascal,1,2
tragically,3,9
timely,1,4
tend,2,2
individual,1,2
machine,1,3
bracelet,3,3
ancient,4,8
weight,3,9
complexion,2,8
bewilderment,3,15
posture,1,6
study,28,28
gingham,1,2
route,1,3
apparent,1,4
sobbing,7,7
venerable,5,10
carpeted,1,3
lamps,3,3
lauries,49,98
cherished,8,24
orders,7,28
measures,2,10
independence,8,8
duties,10,20
boarding,1,3
susie,3,3
lovable,2,4
liveliest,2,6
manager,1,4
block,1,5
englishwoman,1,1
oppress,2,4
rakish,1,3
manages,1,4
compartment,1,5
manner,51,51
adoration,2,4
cones,3,3
tail,5,10
wheedlesome,4,12
pondering,1,4
romp,1,5
frenchman,3,18
rhythmic,1,7
almonds,1,8
magnanimous,1,1
angrily,3,3
