Word,Number Of Occurences,Number Of Steps
laid,46,46
month,20,40
confessed,9,27
confidingly,4,16
removed,3,15
carving,1,6
parasol,5,35
unforeseen,1,8
scream,1,1
seeing,30,60
pantoufles,1,3
highly,9,36
eagles,1,5
wary,1,6
melodramatic,7,7
trembling,7,14
sincerest,2,6
masquerade,3,12
barred,1,5
nowadays,3,18
background,1,7
admonitory,1,8
vive,1,9
rosebud,2,20
neither,27,27
rosiest,2,4
matches,2,6
morning,64,64
places,10,20
messages,5,15
largest,1,4
vale,1,5
hugo,9,9
groceries,1,2
empress,1,3
pinafores,2,8
came,271,271
remonstrated,1,2
marole,1,3
sixty,3,3
statuary,1,2
concoction,1,3
paired,1,4
erste,1,5
fitness,1,1
bluntness,1,2
entered,7,7
refreshing,7,14
indian,3,9
hugs,1,4
opens,3,15
friendless,1,6
lisp,1,1
ohs,1,2
impressively,3,9
appetite,4,16
autumn,5,25
pianee,1,6
perusal,1,7
idleness,1,1
penances,1,2
balky,1,3
laundrywoman,1,4
chestnut,8,8
masterpiece,1,2
frere,1,3
street,20,20
frame,6,12
simmer,1,3
sometimes,43,43
waiter,1,2
wry,2,6
tops,2,8
published,1,5
cheops,1,6
dressmaking,1,7
spritely,1,8
list,1,9
hagar,11,11
lent,4,8
armor,2,6
wash,14,56
conceit,2,10
partial,1,6
redder,6,6
jewels,2,4
ventures,1,3
preventive,1,4
forcibly,1,5
winey,1,6
camp,8,8
instant,11,22
velour,1,3
surprisin,1,4
applicable,1,5
squabbled,1,6
servants,12,12
unquenchables,1,2
defects,1,3
luxury,11,11
brighten,4,8
wearing,7,21
platform,2,8
uncovered,2,10
judged,2,12
pearls,5,35
holes,2,16
addressed,1,9
placed,3,30
learn,45,45
quarrel,7,14
redden,1,3
spilled,1,1
ached,4,8
rock,1,3
rubens,1,4
effalunt,2,10
quite,181,181
travel,5,10
final,3,9
briton,1,4
cakies,2,10
cover,16,16
carefully,23,46
maps,3,9
exclaim,5,20
brighter,2,10
publishers,2,12
rebelliously,3,21
spell,7,7
ups,1,2
notice,10,30
heavens,2,8
dursnt,1,5
dryly,1,6
orchards,1,7
girlhood,1,8
choose,13,13
covet,1,2
attended,1,3
current,1,4
frankness,5,25
evolved,1,6
injustice,2,2
flos,2,4
speechless,2,2
fatherless,1,2
intended,4,12
waited,20,20
dats,1,2
excellently,6,6
rehearsal,2,4
newly,4,12
banishing,1,4
underlies,1,5
inventor,1,6
flow,3,3
pancakes,1,2
tempest,2,6
bathed,1,4
blazed,2,10
objected,3,18
thinner,1,7
bye,2,16
policy,1,9
share,13,13
adding,15,30
escape,9,27
brings,5,20
ventured,1,5
reposing,1,6
verb,1,7
privately,7,7
semioccasional,1,2
awhile,1,3
patience,34,34
strength,14,28
confessing,1,3
industrious,2,8
viciously,1,5
conquering,3,18
tenders,1,7
dignity,14,14
slowly,33,66
attracts,1,3
vere,1,4
telegrams,2,10
graciously,8,48
leisurely,4,28
oil,2,16
hymn,4,36
volcano,4,40
blarneystone,1,11
bell,12,12
humor,6,12
confides,1,3
screwed,1,4
consciously,1,5
aches,3,3
balls,1,2
withdrawn,2,6
desperandum,1,4
sure,86,86
cane,4,8
undone,1,3
jewelry,1,1
weaned,1,2
neglected,12,12
vittles,2,4
absent,11,33
obstreperous,1,4
establishing,1,5
prisoner,3,3
elegance,7,14
ruffled,8,24
coveted,5,20
graduates,1,5
rummaged,1,6
magical,1,7
slammed,2,2
erect,5,10
starch,2,6
balustrade,2,8
fatherland,1,5
sharp,23,23
withdrew,1,2
unwomanly,1,3
bags,5,5
belt,2,4
impossible,32,96
wherry,1,4
crowning,4,20
traits,1,6
further,9,9
address,4,8
resolve,6,18
unlock,1,4
santa,1,1
worktable,2,4
breakages,1,3
concocting,1,4
linger,1,5
sick,34,34
fresh,30,60
rode,6,18
chests,4,16
capricious,2,10
spire,1,1
milkman,1,2
streamed,2,6
enabled,1,4
strikes,1,5
masterly,1,6
vivan,1,1
arose,4,8
villains,1,3
refuge,9,36
repress,1,5
began,153,153
shiver,4,8
dearer,4,12
coral,2,8
concerned,1,5
joian,1,6
frank,22,22
confided,4,8
police,2,6
haughty,4,16
pulling,6,6
italians,2,4
housekeeping,7,21
cant,187,187
kind,112,224
description,4,12
prospect,15,60
market,4,20
spares,2,12
byronic,1,7
costing,1,1
bracelets,2,4
smiles,6,18
sickness,1,4
mantlepiece,3,15
very,492,492
agreeable,22,44
regretted,9,27
develops,1,4
sob,7,35
blandly,3,18
scholar,3,21
luggage,1,8
writ,1,9
king,7,7
boys,101,202
urgency,1,3
moralize,1,4
graduated,1,5
prince,2,12
beggin,1,1
lifts,1,2
expressive,5,15
darlings,2,8
bedside,3,15
minnie,4,24
precocious,4,28
least,30,30
countenance,15,30
kneel,1,3
retired,8,32
bird,16,80
appetites,1,6
cheerily,1,7
condescended,2,16
assert,3,3
enjoy,59,59
quel,1,2
motioned,1,3
perishable,1,4
desultory,1,5
preparing,9,9
wearin,2,4
rule,6,18
workaday,2,8
reverie,3,15
lighting,1,6
outset,1,7
coals,1,8
mother,328,328
should,192,384
heeled,4,12
grandpa,23,92
keg,1,5
uncomplainingly,1,6
streamer,1,7
bespattered,1,8
gabble,1,9
tempers,5,5
tenderest,6,12
tore,5,15
contradick,1,4
temper,23,23
lake,11,22
deared,1,3
opportunities,3,12
butter,7,7
adventure,2,4
knees,8,24
horns,1,4
testing,1,5
delays,1,6
gossip,20,20
jeune,1,2
flashed,3,9
