Word,Number Of Occurences,Number Of Steps
laid,46,46
month,20,40
confessed,9,27
shouted,2,8
confidingly,4,20
removed,3,18
carving,1,7
established,1,8
cornelius,1,9
parasol,5,50
coaches,1,11
numbered,1,12
thrills,1,13
unforeseen,1,14
scream,1,1
procession,7,14
seeing,30,90
pantoufles,1,4
demeanor,2,10
respectful,8,48
smart,6,42
highly,9,72
phenomenon,1,9
eagles,1,10
offers,5,55
kenilworth,1,12
wary,1,13
melodramatic,7,7
trembling,7,14
personage,1,3
asleep,32,128
sincerest,2,10
masquerade,3,18
barred,1,7
artificial,1,8
nowadays,3,27
mathematics,2,20
bewilder,1,11
rattlepated,2,24
background,1,13
scarabei,1,14
englishmen,1,15
admonitory,1,16
unrequited,1,17
vive,1,18
rosebud,2,38
effigy,1,20
paris,12,12
neither,27,54
exultation,1,3
apology,5,20
rosiest,2,10
emil,4,24
fort,2,14
matches,2,16
morning,64,64
hastily,11,22
places,10,30
relished,1,4
pour,2,10
messages,5,30
nge,1,7
effectually,4,32
largest,1,9
decision,7,70
vale,1,11
hugo,9,9
ceiling,1,2
disdainful,1,3
patronizing,4,16
wrathful,3,15
groceries,1,6
empress,1,7
pinafores,2,16
chains,4,4
came,271,542
ladder,5,15
insulted,3,12
blushing,4,20
remonstrated,1,6
beforehand,3,21
marole,1,8
privileges,1,9
pharaohs,1,10
duly,1,11
hans,1,12
imposing,2,26
recollections,2,28
wisdom,6,6
carved,3,6
sixty,3,9
awe,1,4
moan,3,15
statuary,1,6
concoction,1,7
manliest,1,8
paired,1,9
erste,1,10
laughed,79,79
drank,5,10
pine,1,3
fitness,1,4
bluntness,1,5
worry,17,17
peeped,13,26
honest,12,36
entered,7,28
refreshing,7,35
indian,3,18
pummelled,1,7
hugs,1,8
alteration,1,9
opens,3,30
friendless,1,11
lisp,1,1
ohs,1,2
impressively,3,9
appetite,4,16
broad,7,35
autumn,5,30
pianee,1,7
perusal,1,8
blanketed,1,9
cuff,2,20
performances,5,5
apiece,4,8
burning,7,21
subsided,9,36
idleness,1,5
longings,2,12
penances,1,7
balky,1,8
laundrywoman,1,9
leaved,1,10
chestnut,8,8
masterpiece,1,2
strongly,4,12
homely,3,12
sidling,1,5
greatness,1,6
frere,1,7
street,20,20
anywhere,11,22
moat,1,3
frame,6,24
threshold,4,20
simmer,1,6
pink,13,13
tutor,10,20
sometimes,43,129
waiter,1,4
dumb,3,15
presided,4,24
wry,2,14
tops,2,16
published,1,9
cheops,1,10
dressmaking,1,11
spritely,1,12
berne,2,26
list,1,14
dress,76,76
hagar,11,22
lent,4,12
armor,2,8
pronounce,1,5
college,20,120
wash,14,98
conceit,2,16
surveyed,4,36
midsummer,3,30
partial,1,11
thorn,2,24
redder,6,6
wreaths,2,4
violently,3,9
jewels,2,8
ventures,1,5
preventive,1,6
forcibly,1,7
winey,1,8
does,86,86
camp,8,16
accompaniment,2,6
instant,11,44
velour,1,5
tracy,1,6
named,4,28
surprisin,1,8
kearney,2,18
rothschilds,1,10
applicable,1,11
squabbled,1,12
servants,12,12
toe,1,2
unquenchables,1,3
outsiders,2,8
bachelorhood,1,5
alternations,1,6
vladimir,1,7
vehement,1,8
defects,1,9
led,24,24
expensive,2,4
luxury,11,33
brighten,4,16
wearing,7,35
platform,2,12
uncovered,2,14
judged,2,16
pearls,5,45
holes,2,20
stints,1,11
addressed,1,12
placed,3,39
gentler,1,14
righted,1,15
girl,116,116
worse,20,40
learn,45,135
requests,1,4
quarrel,7,35
redden,1,6
lee,1,7
conjured,1,8
smash,1,9
imperturbable,1,10
enlightenment,1,11
great,186,186
spilled,1,2
ached,4,12
rock,1,4
rubens,1,5
effalunt,2,12
impetuositys,1,7
quite,181,181
pins,8,16
travel,5,15
pardon,26,104
domestic,12,60
final,3,18
cabbages,1,7
leg,3,24
proposal,1,9
baptizing,1,10
briton,1,11
robert,1,12
cakies,2,26
cheap,6,6
cover,16,32
carefully,23,69
maps,3,12
godmother,2,10
pint,1,6
exclaim,5,35
beginners,2,16
brighter,2,18
senna,1,10
publishers,2,22
rebelliously,3,36
york,4,52
piminy,1,1
drafted,1,2
dangers,1,3
writers,1,4
spell,7,35
hired,1,6
ups,1,7
notice,10,80
tearing,4,36
heavens,2,20
midnight,3,33
dursnt,1,12
dryly,1,13
patriarch,1,14
intellect,4,60
orchards,1,16
girlhood,1,17
suffer,5,5
choose,13,26
doctor,14,42
covet,1,4
formal,4,20
attended,1,6
current,1,7
frankness,5,40
evolved,1,9
stile,3,30
shames,1,11
burden,12,12
sounded,14,28
persons,10,30
soiled,2,8
injustice,2,10
tom,2,12
pointing,4,28
shock,6,48
flos,2,18
destination,1,10
rare,1,11
speechless,2,2
pegging,2,4
cheat,3,9
fatherless,1,4
persisted,4,20
shadows,2,12
evelyn,1,7
scribbling,4,32
diary,1,9
intended,4,40
dollar,5,5
too,198,396
waited,20,60
dictionaries,1,4
disgusted,7,35
claws,1,6
outcry,1,7
prudence,2,16
ordained,1,9
developed,2,20
embers,1,11
dats,1,12
excellently,6,6
rehearsal,2,4
top,11,33
meekly,9,36
tweaked,2,10
newly,4,24
banishing,1,7
underlies,1,8
coldness,1,9
inventor,1,10
gloves,29,29
flow,3,6
pancakes,1,3
tripped,2,8
tempest,2,10
bathed,1,6
starched,2,14
blazed,2,16
objected,3,27
tuileries,1,10
ethereal,2,22
thinner,1,12
bye,2,26
capture,1,14
policy,1,15
share,13,13
written,19,38
consented,7,21
adding,15,60
